Title,Description,Media URL,Link,Pinterest Board,Hashtags
Grizzly Bear Claw Pendant – Sterling Silver 3D Miniature Necklace Charm,"This claw is cast from a scaled down grizzly claw. The completely 3D claw looks is a perfect miniature creation of a grizzly bear claw measuring 1"" from top to bottom and 1-3/8"" around the outside curve. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_36531855065158.jpg?v=1768879194,https://moonraven.com/products/grizzly-bear-claw-pendant-necklace-in-sterling-silver?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#bearjewelry #bearclaw #sterlingsilverjewelry #925silver #necklace
Viper Snake Necklace - Realistic Snake Coil Jewelry,"Live dangerously with this little 1.75"" bronze viper hanging around your neck. The realistic scale detail is amazing and has been enhanced with a slight oxidization treatment. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_34462859427910.jpg?v=1768879159,https://moonraven.com/products/viper-snake-necklace-in-bronze?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#snakejewelry #serpentnecklace #bronzejewelry #handcraftedbronze #necklace
Velociraptor Skull Necklace - Realistic Dinosaur Skull Pendant Jewelry,This 3D velociraptor skull is an extremely accurate miniaturized version of the real thing. This little guy is only 30 mm long from the tip of his nose to the back of his skull. Handcrafted since 1974. Shop the collection.,https://cdn.shopify.com/s/files/1/0204/2526/files/01_34469756043334.jpg?v=1768879142,https://moonraven.com/products/velociraptor-dinosaur-claw-necklace-in-solid-sterling-silver?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Talismanic Jewelry,#skulljewelry #momentomori #necklace #pendantnecklace #handcraftedjewelry
Rod of Asclepius Pin,"The ancient symbol of healing, rendered with a serpent you can practically feel slithering up the staff. For those who've earned the right to wear it. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_34462746083398.jpg?v=1768879126,https://moonraven.com/products/rod-of-asclepius-lapel-pin-in-solid-stainless-steel?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#handcraftedjewelry #artisanjewelry #darkjewelry #symbolicjewelry
Velociraptor Skull Pendant - Stainless Steel Necklace With Miniature Dinosaur Charm,This 3D velociraptor skull is an extremely accurate miniaturized version of the real thing. This little guy is only 30 mm long from the tip of his nose to the back of his skull. Handcrafted since 1974. Shop the collection.,https://cdn.shopify.com/s/files/1/0204/2526/files/01_34495502123078.jpg?v=1768879096,https://moonraven.com/products/velociraptor-skull-pendant-necklace-in-solid-stainless-steel?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#skulljewelry #momentomori #necklace #pendantnecklace #charmnecklace
Black Bear Claw Necklace – Wildlife Inspired Solid Bronze Pendant,"This exquisite large black bear claw pendant is a remarkable piece of art, cast from a real claw using the lost wax hot cast bronze technique. Weighing 18 grams and measuring 2-3/4"" around the curve and 2"" from top to bottom, this pendant boasts an exceptionally highly polished finish that beautifully captures the natural detail of the claw. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_34469783961670.jpg?v=1768879073,https://moonraven.com/products/coyote-canine-tooth-necklace?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#bearjewelry #bearclaw #bronzejewelry #handcraftedbronze #necklace
Sterling Silver Necklace – 12mm Sand Dollar Charm | Ocean Inspired Jewelry,"I found it this tiny 12mm sand dollar this summer when our family traveled to a beautiful sandy beach about 3 hours from our home. It was tiny and perfect, it has been cast in solid sterling silver and the detail is absolutely amazing on both front and back. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_36531895959622.jpg?v=1768879069,https://moonraven.com/products/tiny-sand-dollar-necklace-in-sterling-silver?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#sterlingsilverjewelry #925silver #necklace #pendantnecklace #charmnecklace
Diving Sea Otter Earrings – Sterling Silver Animal Jewelry,"You'll love showing off these cute little diving sea otters as they playfully swim down with hopes of finding another clam for dinner. Cast in solid 925 sterling silver, these beautifully detailed otters measure a mere 1"" long and is completely 3D with a smooth mirror polished finish. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_36532289273926.jpg?v=1768879066,https://moonraven.com/products/diving-sea-otter-earrings?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#sterlingsilverjewelry #925silver #earrings #statementearrings #handcraftedjewelry
Turtle Shell Earrings – Handcrafted Sterling Silver Wildlife Inspired Jewelry,"These beautifully detailed 3D turtle shell earrings are a miniature version of my original full-size turtle shell design. Handcrafted in solid sterling silver, they are slightly oxidized to enhance every realistic segment and fine detail. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_34476747587654.jpg?v=1768879050,https://moonraven.com/products/turtle-shell-earrings?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#sterlingsilverjewelry #925silver #earrings #statementearrings #handcraftedjewelry
Raven Claw Ring – Handcrafted Bronze Wrap Ring With Unique Talon Design,Discover the allure of the wild with our Solid Bronze Unisex Raven Claw Ring! This exquisite and distinctive piece of jewelry is designed to captivate and inspire. Handcrafted since 1974. Shop the collection.,https://cdn.shopify.com/s/files/1/0204/2526/files/01_32794980253766.jpg?v=1768879043,https://moonraven.com/products/raven-claw-talon-wrap-ring-solid-hand-cast-jewelers-bronze?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Wildlife Jewelry,#ravenjewelry #ravennecklace #bronzejewelry #handcraftedbronze #ring
Triceratops Skull Pendant Sterling Silver Necklace - Detailed Dinosaur Jewelry Charm,"This miniature 3D triceratops skull is extremely detailed considering it only measures 3/4"" long. It is made of highly polished sterling silver oxidized in the recesses to enhance the fine details. Handcrafted since 1974. Shop the collection.",https://cdn.shopify.com/s/files/1/0204/2526/files/01_32722759024710.jpg?v=1768879024,https://moonraven.com/products/sterling-silver-triceratops-skull-pendant-25589?utm_source=pinterest&utm_medium=organic&utm_campaign=launch,Handcrafted Silver,#skulljewelry #momentomori #sterlingsilverjewelry #925silver #necklace
